,artist
0,21 Savage
1,5 Seconds of Summer
2,"6ix9ine, Nicki Minaj & Murda Beatz"
3,A Great Big World & Christina Aguilera
4,Adam Lambert
5,Adele
6,Alan Walker
7,Alessia Cara
8,Aloe Blacc
9,American Authors
10,Andreas Bourani
11,Andy Grammer
12,Ariana Grande
13,Ariana Grande & Iggy Azalea
14,Ariana Grande & Nicki Minaj
15,Ariana Grande & Zedd
16,Avicii
17,Axwell L Ingrosso
18,Ayo & Teo
19,Bastille
20,Bazzi
21,Bebe Rexha & Florida Georgia Line
22,Becky G
23,"Benny Blanco, Halsey & Khalid"
24,Beyonce
25,Beyonce & Jay-Z
26,Big Sean
27,Big Sean & E-40
28,BlocBoy JB & Drake
29,Bobby Shmurda
30,Brantley Gilbert
31,Brett Young
32,Bruno Mars
33,Bruno Mars & Cardi B
34,Bryson Tiller
35,Burak Yeter & Danelle Sandoval
36,Calvin Harris
37,Calvin Harris & Disciples
38,Calvin Harris & Dua Lipa
39,Calvin Harris & Ellie Goulding
40,Calvin Harris & John Newman
41,Calvin Harris & Sam Smith
42,"Calvin Harris, Frank Ocean & Migos"
43,"Calvin Harris, Pharrell Williams, Katy Perry & Big Sean"
44,Camila Cabello
45,Camila Cabello & Young Thug
46,Cardi B
47,Cardi B & 21 Savage
48,"Cardi B, Bad Bunny & J Balvin"
49,Carly Rae Jepsen
50,Charli XCX
51,Charlie Puth
52,Charlie Puth & Meghan Trainor
53,Charlie Puth & Selena Gomez
54,Cheat Codes & Demi Lovato
55,Childish Gambino
56,Chris Brown & Lil' Wayne
57,Chris Brown & Tyga
58,Clean Bandit & Demi Lovato
59,Clean Bandit & Jess Glynne
60,Clean Bandit & Zara Larsson
61,"Clean Bandit, Sean Paul & Anne-Marie"
62,Coldplay
63,DJ Khaled & Drake
64,"DJ Khaled, Justin Bieber, Quavo, Chance The Rapper & Lil' Wayne"
65,"DJ Khaled, Rihanna & Bryson Tiller"
66,DJ Snake & AlunaGeorge
67,DJ Snake & Bipolar Sunshine
